"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT08","WT09"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-01-01","6.49"," 1651"," 1655","0.00","13","22","4",,"  330","  330","13.0","14.1",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-01-02","6.26"," 2352"," 2349","0.00","5","13","-3",,"  220","  220","17.0","21.9",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-01-03","6.04"," 0733"," 0722","0.00","17","27","6",,"  240","  230","21.9","25.9",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-01-04","9.40"," 1912"," 1945","0.00","24","30","18",,"  190","  190","28.0","32.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-01-05","14.09"," 1424"," 1049","0.00","25","36","13",,"  330","  280","25.1","30.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-01-06","8.95"," 1350"," 1316","0.00","21","32","10","    0","  240","  230","19.9","23.9",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-01-07","11.18"," 1438"," 1553","0.00","26","33","19",,"  330","  330","19.9","21.9",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-01-08","8.95"," 1204"," 1204","0.00","16","24","7",,"  360","  360","17.0","19.9",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-01-09","10.29"," 2230"," 2229","0.00",,,,,"  250","  250","21.0","28.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-01-10","11.41"," 1123"," 1135","0.00",,,,,"  230","  220","17.9","21.9",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-01-11","5.59"," 1506"," 0119","0.00","24","34","13","    0","  180","  180","10.1","12.1",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-01-12","4.70"," 1656"," 1658","0.00","28","34","22","    0","  240","  250","12.1","14.1",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-01-13","7.61"," 2355"," 2353","0.00","34","35","32","    0","  150","  150","14.1","17.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-01-14","9.62"," 2359"," 2351","0.11","34","35","33","    0","  240","  240","16.1","17.9",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-01-15","14.54"," 2039"," 1814","0.02","32","34","30",,"  270","  270","21.9","28.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-01-16","10.96"," 0235"," 0235","0.00","27","30","23",,"  290","  290","21.0","23.9",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-01-17","7.16"," 1334"," 1333","0.00","20","24","15",,"  250","  240","13.0","14.1",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-01-18","10.07"," 1517"," 1516","0.00","22","31","13",,"  230","  230","16.1","17.9",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-01-19","12.75"," 1113"," 1105","0.00","21","26","16",,"   20","   10","23.9","28.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-01-20","7.61"," 1445"," 1202","0.00","15","22","8",,"  270","  320","13.0","15.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-01-21","4.03"," 1015"," 0011","0.00","15","25","4",,"  270","  240","8.9","12.1",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-01-22","5.14"," 1311"," 1337","0.00","14","25","3",,"  240","  240","14.1","15.0",,,,,,,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2001-01-23","6.93"," 1642"," 0130","0.00","23","31","15",,"  280","  210","12.1","15.0",,,,,,,
